"text", "translation"
"基礎能力は十分育っているようなので\nスキルを獲得しましょう。","基礎能力已經培養的很充分了\n讓我們來學習一些技能吧。"
"スピードが不足しているようなので\n重点的に鍛えてみましょう。","好像速度不太夠的樣子呢\n讓我們來重點鍛煉一下吧。"
"スタミナが不足しているようなので\n重点的に鍛えてみましょう。","好像耐力不太夠的樣子呢\n讓我們來重點鍛煉一下吧。"
"パワーが不足しているようなので\n重点的に鍛えてみましょう。","好像力量不太夠的樣子呢\n讓我們來重點鍛煉一下吧。"
"根性が不足しているようなので\n重点的に鍛えてみましょう。","好像毅力不太夠的樣子呢\n讓我們來重點鍛煉一下吧。"
"賢さが不足しているようなので\n重点的に鍛えてみましょう。","好像不夠聰明的樣子呢\n讓我們來重點鍛煉一下吧。"
"ファン不足で目標のレースに出走\nできません。レースに出走しましょう。","因為粉絲數量不足無法參加\n目標的比賽, 去參加比賽吧。"
"このままでは目標のファン数に到達\nできません。レースに出走しましょう。","這樣下去是達不到目標粉絲數量的\n去參加比賽吧。"
"目標としてきたレース当日ですね。\nあとはレースの結果を見守りましょう。","一直以來作為目標的比賽就是今天呢，\n之後就期待比賽的結果吧。"
"トレーニングに差し支えのある状態に\nなっているので保健室に行きましょう。","已經影響到了訓練的狀態，\n去一趟保健室吧。"
"体力が低いのでケガの恐れがあります。\nお出かけしてリフレッシュしましょう。","因為體力過低所以有可能受傷呢，\n出去放鬆一下吧。"
"デビューまでの調整期間です。\nトレーニングをしっかりやりましょう。","是到出道為止的調整期\n讓我們好好訓練吧。"
"未勝利のままでは9月以降育成を続行\nできません。レースで勝利しましょう。","未勝利的情況下9月以後就無法繼續培養了\n贏下比賽吧。"
"未勝利のため目標のレースに出走\nできません。レースに出走しましょう。","未勝利所以不能參加目標的比賽\n去參加比賽吧。"
"このままでは目標を達成できません。\nレースに出走しましょう。","這樣下去是無法達成目標的\n去參加比賽吧。"
