"text","translation"
"ログインボーナス","Login Bonus"
"スタートダッシュログインキャンペーン","Start Dash Login Campaign"
"リリース記念ログインボーナス","Release Login Bonus"
"TVアニメ第8話放送記念ログインボーナス","TV Anime ep.8 Login Bonus"
"TVアニメ第9話放送記念ログインボーナス","TV Anime ep.9 Login Bonus"
"TVアニメ第10話放送記念ログインボーナス","TV Anime ep.10 Login Bonus"
"TVアニメ第11話放送記念ログインボーナス","TV Anime ep.11 Login Bonus"
"TVアニメ第12話放送記念ログインボーナス","TV Anime ep.12 Login Bonus"
"TVアニメ第13話放送記念ログインボーナス","TV Anime ep.13 Login Bonus"
"リリース記念ログインボーナス第2弾","Release Login Bonus #2"
"GW特別ログインボーナス","GW Special Login Bonus"
"HalfAnniversary カウントダウンログインボーナス","Half Anni. Countdown Login Bonus"
"Half Anniversary記念ログインボーナス","Half Anniversary Login Bonus"
