"text", "translation"
"ついつい夜ふかしをしてしまう\n寝不足で体力が下がることがある","Tends to stay up late at night.\nMay lose energy due to lack of sleep."
"今日は練習に行かなくてもいっか……\nトレーニングに来ないことがある","Eh, who cares about training?\nSometimes just skips training."
"肌あれが気になるお年頃\nやる気が下がってしまうことがある","At the age worrying about complexion.\nMay feel discouraged to train."
"食べ過ぎで体がちょっと太め\nトレーニングでスピードが上がらなくなる","Ate too much and got little fat.\nCannot train speed."
"片頭痛でちょっと憂鬱な気分\nやる気が上がらなくなる","Migraine makes me feel depressed…\nNot feeling motivated."
"おっと……足元には気を付けて！\nトレーニングが失敗しやすい","Whoops! Watch your steps!\nIncreased training fail rate."
"飲み込みの早さはピカイチ！\nあらゆる戦術のヒントを得る","Such a fast learner!\nGain discounts to all skills."
"一緒に練習すると楽しいね！\nトレーニング相手ともっと仲良くなれる","It's fun exercising together!\nGet to know your training partner better."
"傑物ッ！　学園を背負って立つ存在！！\n記者と理事長がもっと評価してくれる","Outstanding! The academy is proud of you!\nJournalists and the Principal will appreciate you more."
"練習でも準備は怠りません\nトレーニングが失敗しにくい","Be prepared even in practice.\nDecreased training fail rate."
"丁寧な練習で明日の勝利をつかもう\nトレーニングがとても失敗しにくい","Victory through careful practice.\nDecreased training fail rate."
"原因不明の不調で心も体も沈む……\n秋までトレーニングがとても失敗しやすい","I'm feeling depressed…\nIncreased training fail rate until autumn."
"心身ともに充実して元気いっぱい！\nトレーニングが失敗しにくい","Feeling energetic!\nDecreased training fail rate."
"札幌・函館でのレースに勝利すると\nファンと再会して力をもらえる","Meet up with your fans to gain power.\nWin a race held in the Sapporo・Hakodate Racecourse."
"福島・新潟でのレースに勝利すると\nファンと再会して力をもらえる","Meet up with your fans to gain power.\nWin a race held in the Fukushima・Niigata Racecourse."
"中山でのレースに勝利すると\nファンと再会して力をもらえる","Meet up with your fans to gain power.\nWin a race held in the Nakayama Racecourse."
"京都・阪神でのレースに勝利すると\nファンと再会して力をもらえる","Meet up with your fans to gain power.\nWin a race held in the Kyoto・Hanshin Racecourse."
"小倉でのレースに勝利すると\nファンと再会して力をもらえる","Meet up with your fans to gain power.\nWin a race held in the Kokura Racecourse."
