"text","translation"
"チュートリアル専用ガチャ","Tutorial gacha"
"「★3確定メイクデビューチケット」専用のガチャ","\"Guaranteed ★3 Make Debut Ticket\" exclusive gacha"
"「SSR確定メイクデビューチケット」専用のガチャ","\"Guaranteed SSR Make Debut Ticket\" exclusive gacha"
"「★2以上確定メイクデビューチケット」専用のガチャ","\"Guaranteed ★2+ Make Debut Ticket\" exclusive gacha"
"「SR以上確定メイクデビューチケット」専用のガチャ","\"Guaranteed SR+ Make Debut Ticket\" exclusive gacha"
"全ての育成ウマ娘にピースのおまけ付き！","Every Uma Musume comes with an extra piece!"
"「10回引く！」はSR以上1枚確定！","Guaranteed SR when doing a 10 draw!"
"ピックアップ育成ウマ娘のおまけピースは90個！","Get 90 extra pieces with the banner horse girl!"
"ピックアップサポートカードの登場率が期間中アップ！","Rate up for select support cards!"
"1回限定！有償ジュエルのみで引けるガチャ","One time only! Paid Jewels exclusive gacha!"
