"text","translation"
"プリティーダービーガチャ","Pretty Derby Gacha"
"サポートカードガチャ","Support Card Gacha"
"★3確定メイクデビューガチャ","Guaranteed ★3 Make Debut Gacha"
"SSR確定メイクデビューガチャ","Guaranteed SSR Make Debut Gacha"
"★2以上確定メイクデビューガチャ","Guaranteed ★2+ Make Debut Gacha"
"SR以上確定メイクデビューガチャ","Guaranteed SR+ Make Debut Gacha"
"ピックアップ プリティーダービーガチャ","Pick Up Pretty Derby Gacha"
"ピックアップ サポートカードガチャ","Pick Up Support Card Gacha"
"TVアニメコラボ プリティーダービーガチャ","TV Anime Collab Pretty Derby Gacha"
"TVアニメコラボ サポートカードガチャ", "TV Anime Collab Support Card Gacha"
"★3確定スタートダッシュガチャ","Guaranteed ★3 Start Dash Gacha"
"SSR確定スタートダッシュガチャ","Guaranteed SSR Start Dash Gacha"
"★3確定Half Anniversaryガチャ","Guaranteed ★3 Half Anniversary Gacha"
"SSR確定Half Anniversaryガチャ","Guaranteed SSR Half Anniversary Gacha"
