"text","translation"
"トレセン学園では日々たくさんの出来事が起こります。\n<color=#ff9900>育成シナリオ</color>を選んで、学園を取り巻く問題を解決しましょう。\nシナリオを攻略するとウマ娘の成長にもつながります！","A lot of things happen every day at the Tracen Academy. Choose a <color=#ff9900>nurturing scenario</color> and solve the problems surrounding the school. Conquering these scenarios will help your horse girl grow!"
"ウマ娘と<color=#ff9900>トゥインクル・シリーズ</color>で3年間を過ごし、\n二人三脚で彼女たちの<color=#ff9900>夢を叶えましょう</color>！\nウマ娘たちは目標とする内容も様々。\nいろいろなウマ娘たちを導いて、名トレーナーを目指しましょう。","Spend three years with Uma Musume in the <color=#ff9900>Twinkle Series</color> and work together to make their <color=#ff9900>dreams come true</color>! The Uma Musume have a variety of goals. Each of the girls has a different goal in mind, and you'll have to guide them all to become a great trainer."
"ウマ娘たちは個性豊かな子ばかり。\nウマ娘ごとに基礎能力やスキル、適性などが異なります。\n育成は何度でも繰り返しできるので、\nまずは<color=#ff9900>お気に入りのウマ娘を育ててみましょう</color>。","All of the Uma Musume have unique personalities. Each Uma Musume has different basic abilities, skills, and aptitudes. You can train them as many times as you like, so let's start by raising your favorite Uma Musume</color>."
"<color=#ff9900>想い（因子）</color>を受け継がせてみましょう。\n育成開始時の能力や適性が高くなり、\n育成中の<color=#ff9900>継承イベント</color>でウマ娘が成長します。\n継承しても殿堂入りウマ娘はいなくならないので、\nより強いウマ娘を育てるために活用しましょう！","Let your <color=#ff9900>thoughts (factors)</color> be inherited. The ability and aptitude at the start of breeding will be higher, and the Uma Musume will grow during the <color=#ff9900>Inheritance Event</color> during breeding. Inheriting won't get you out of the Hall of Fame, so take advantage of it to raise stronger Uma Musume!"
"サポートカードを<color=#ff9900>編成</color>してみましょう。\n編成したキャラクターから<color=#ff9900>サポート効果</color>が受けられ、\nカードに応じた<color=#ff9900>育成イベント</color>が発生しやすくなります。\nなお、育成ウマ娘やサポートカードは\n<color=#ff9900>同じキャラクター</color>を編成できませんのでご注意ください。","Let's <color=#ff9900>organize</color> support cards. You will receive <color=#ff9900>support effects</color> from the characters you organize, and it will be easier to generate <color=#ff9900>training events</color> according to the card. Please note that the same character cannot be organized as a support card."
"サポートカードには<color=#ff9900>タイプ（得意トレーニング）</color>があります。\n一緒にトレーニングをした際に発揮する効果が異なります。","There are <color=#ff9900>types (specialty training)</color> of support cards. The effects they exhibit when training together are different."
"育成中にサポートカードの絆ゲージを上げて、\n得意トレーニングを行うと<color=#ff9900>友情トレーニング</color>が発生します。\n友情トレーニングでは通常よりも大きくウマ娘が成長します！","When you raise the bond gauge of your support card during training and perform your specialty training, <color=#ff9900>Friendship Training</color> will occur. In Friendship Training, your Uma Musume will grow bigger than normal!"
"<color=#ff9900>強化アイテム</color>を使用して<color=#ff9900>覚醒Lv</color>を上げてみましょう。\n覚醒Lvを上げることで育成中に獲得可能なスキルが増えます。\n強化アイテムは育成やデイリーレースなどで獲得できます。","Use <color=#ff9900>enhancement items</color> to increase your <color=#ff9900>Awakening Lv</color>. Raising your Awakening Lv will increase the number of skills you can acquire during training. Reinforcement items can be obtained through training and daily races."
"<color=#ff9900>ウマ娘のピース</color>を使用して<color=#ff9900>才能開花</color>をしてみましょう。\n才能開花をしたウマ娘は基礎能力が上がります。\nまた、★3になると<color=#ff9900>勝負服</color>の衣装を獲得できます。","Use <color=#ff9900>Uma Musume pieces</color> to <color=#ff9900>uncap</color> them. This will increase the basic ability of the Uma Musume. Also, when they reach the rank of ★3, they will receive a <color=#ff9900>victory outfit</color>."
"<color=#ff9900>サポートPt</color>と<color=#ff9900>マニー</color>を使用して<color=#ff9900>Lv強化</color>をしてみましょう。\nLvが上がるとサポート効果が増加するので、\n育成を優位に進めることができます。\n強化アイテムは育成やデイリーレースなどで獲得できます。","Use your <color=#ff9900>Support Pt</color> and <color=#ff9900>Money</color> to <color=#ff9900>increase the Lv</color>. As the Lv increases, your support effects will increase, giving you an edge in your training. Strengthening items can be obtained through training and daily races."
