"text", "translation</size>"
"短距離の装備に定評のあるメーカーの\n話題作。覚醒Lv強化で使用できる。","<size=22>A hit product from a manufacturer known for their short-distance race equipment. Used to raise the awakening level of a character.</size>"
"マイルシューズ界を席巻したロング\nセラー製品。覚醒Lv強化で使用できる。","<size=22>The longtime best-seller that took the Mile race shoes world by storm. Used to raise the awakening level of a character.</size>"
"「中距離シューズの大本命！」でおなじみ。\n覚醒Lv強化で使用できる。","<size=22>The shoes well-known as the ""fundamental medium-distance shoes!"". Used to raise the awakening level of a character.</size>"
"長距離でも疲れにくい「ド軽量」シリーズ。\n覚醒Lv強化で使用できる。","<size=22>Shoes from the ""Super-Lightweight"" series that prevent getting tired even over long distances. Used to raise the awakening level of a character.</size>"
"ダートでも汚れない「土踏まず」\nブランド製。覚醒Lv強化で使用できる。","<size=22>Shoes that stay clean even in dirty tracks from the ""Arches of the Foot"" brand. Used to raise the awakening level of a character.</size>"
"覚醒Lv強化に必要となる素材","<size=22>A material required for raising awakening levels.</size>"
"飲んで元気を取り戻そう！\n使用するとTPが30回復する。","<size=22>Drink this and get your energy back! Restores 30 TP upon use.</size>"
"1秒チャージで2時間キープ！？\n使用するとRPが1回復する。","<size=22>Two hours of runtime from one second of charging?! Restores 1 RP.</size>"
"ベテラントレーナー御用達！\n使用するとRPが5回復する。","<size=22>For experienced trainers! Restores 5 RP.</size>"
"育成ウマ娘ガチャが引けるチケット。\nガチャの一覧から使用できる。","<size=22>A ticket to pull from the character gacha with. Usable at the Gacha menu.</size>"
"虹色に輝く不思議な力をまとった\nニンジン型の宝石。","<size=22>Carrot-shaped jewelry clad in a mysterious power that shines in the colors of the rainbow.</size>"
"ウマ娘が夢を掴んだ証とされる\n煌めく力。覚醒Lv強化で使用できる。","<size=22>Glittering power believed to be the proof of a horse girl's dream.</size>"
"ルーレットダービー専用コイン。\nイベントを遊ぶことで入手できる。","<size=22>Coins for use in the roulette derby. Acquired by playing during certain events.</size>"
"蹄鉄型の銀色のお守り。\nショップで様々なものと交換できる。","<size=22>A silver amulet in the shape of a horseshoe. Can be exchanged for various items in the shop.</size>"
"蹄鉄型の金色のお守り。\nショップで様々なものと交換できる。","<size=22>A golden amulet in the shape of a horseshoe. Can be exchanged for various items in the shop.</size>"
"蹄鉄型の虹色のお守り。\nショップで様々なものと交換できる。","<size=22>A rainbow-colored amulet in the shape of a horseshoe. Can be exchanged for various items in the shop.</size>"
"幸運を呼ぶ四つ葉のクローバー。\nショップで様々なものと交換できる。","<size=22>A four-leafed clover that brings good luck. Can be exchanged for various items in the shop.</size>"
"イベントを遊ぶことで入手できる。\n集めることで様々な報酬を獲得できる。","<size=22>Points earned by playing through events. You can earn various awards by collecting these.</size>"
"備えがあればうれしいな。\nトレセン学園の様々な場面で使用できる。","<size=22>Being well prepared means having no worries in times of need. Can be used in various parts of Tracen Academy, such as shops.</size>"
"レース前にウマ娘の能力の分析ができる","<size=22>Makes it possible to analyze the abilities of opponents before a race.</size>"
