"text", "translation"
"短距離シューズ","Short Distance Shoes"
"マイルシューズ","Mile Shoes"
"中距離シューズ","Medium Distance Shoes"
"長距離シューズ","Long Distance Shoes"
"ダートシューズ","Dirt Shoes"
"OPグレードメダル","OP Grade Medal"
"GⅢグレードメダル","G3 Grade Medal"
"GⅡグレードメダル","G2 Grade Medal"
"GⅠグレードメダル","G1 Grade Medal"
"タフネス30","Toughness 30"
"にんじんゼリーミニ","Carrot Jelly Mini"
"にんじんゼリー","Carrot Jelly"
"育成ウマ娘ガチャチケット","Character Gacha Ticket"
"ジュエル","Jewel"
"夢の煌めき","Dream Glitter"
"ルーレットコイン","Roulette Coin"
"銀の蹄鉄","Silver Horseshoe"
"金の蹄鉄","Gold Horseshoe"
"虹の蹄鉄","Rainbow Horseshoe"
"クローバー","Clover"
"イベントPt","Event Points"
"マニー","Money"
"たづなの赤ペン","Tazuna's Red Pen"
"フェブラリーS優勝レイ","February S Treasure Scarf"
"高松宮記念優勝レイ","Takamatsunomiya Kinen Treasure Scarf"
"大阪杯優勝レイ","Osaka Hai Treasure Scarf"
"桜花賞優勝レイ","Oka Sho Treasure Scarf"
"皐月賞優勝レイ","Satsuki Sho Treasure Scarf"
"天皇賞（春）優勝レイ","Tenno Sho (Spring) Treasure Scarf"
"ＮＨＫマイルC優勝レイ","NHK Mile C Treasure Scarf"
"ヴィクトリアマイル優勝レイ","Victoria Mile Treasure Scarf"
"オークス優勝レイ","Oaks Treasure Scarf"
"日本ダービー優勝レイ","Japan Derby Treasure Scarf"
"安田記念優勝レイ","Yasuda Kinen Treasure Scarf"
"宝塚記念優勝レイ","Takarazuka Kinen Treasure Scarf"
"スプリンターズS優勝レイ","Sprinters S Treasure Scarf"
"秋華賞優勝レイ","Shuuka Sho Treasure Scarf"
"菊花賞優勝レイ","Kikka Sho Treasure Scarf"
"天皇賞（秋）優勝レイ","Tenno Sho (Fall) Treasure Scarf"
"マイルCS優勝レイ","Mile CS Treasure Scarf"
"エリザベス女王杯優勝レイ","Queen Elizabeth Cup Treasure Scarf"
"ジャパンカップ優勝レイ","Japan Cup Treasure Scarf"
"チャンピオンズカップ優勝レイ","Champions Cup Treasure Scarf"
"阪神JF優勝レイ","Hanshin JF Treasure Scarf"
"朝日杯FS優勝レイ","Asahi Hai FS Treasure Scarf"
"有馬記念優勝レイ","Arima Kinen Treasure Scarf"
"ホープフルS優勝レイ","Hopeful S Treasure Scarf"
"目覚まし時計","Alarm Clock"
"デイリーレースチケット","Daily Race Ticket"
"レジェンドレースチケット","Legend Race Ticket"
"フレンドPt","Friend Points"
"ジャパンダートダービー優勝レイ","Japan Dirt Derby Trophy Scarf"
"JBCスプリント優勝レイ","JBC Sprint Trophy Scarf"
"JBCクラシック優勝レイ","JBC Classic Trophy Scarf"
"JBCレディスクラシック優勝レイ","JBC Ladies' Classic Trophy Scarf"
"帝王賞優勝レイ","Teio Sho Trophy Scarf"
"東京大賞典優勝レイ","Tokyo Daishoten Trophy Scarf"
"はちまき","Headband"
"ダンベル","Dumbbell"
"腹筋ローラー","Sit-Up Roller"
"サポートPt","Support Points"
"サポートカードガチャチケット","Support Card Gacha Ticket"
"★3確定メイクデビューチケット","★3 Make Debut Gacha Ticket"
"SSR確定メイクデビューチケット","SSR Make Debut Gacha Ticket"
"女神像","Goddess Statue"
"やる気UPスイーツ","Motivation-raising Sweets"
"てるてる坊主","Teru Teru Bozu"
"逆さてるてる坊主","Reverse Teru Teru Bozu"
"内枠抽選ボール","Inner Block Lottery Ball"
"外枠抽選ボール","Outer Block Lottery Ball"
"スタートダッシュ★3引換券","Start Dash ★3 Exchange Coupon"
"スタートダッシュSSR引換券","Start Dash SSR Exchange Coupon"
"フォロー枠アップ","Follow Limit Up"
"サークルPt","Circle Points"
"★2以上確定メイクデビューチケット","★2+ Make Debut Gacha Ticket"
"SR以上確定メイクデビューチケット","SR+ Make Debut Gacha Ticket"
