"text","translation"
"選択したウマ娘のピース","Selected Uma Musume's piece"
"スペシャルウィークのピース","Special Week's piece"
"サイレンススズカのピース","Silence Suzuka's piece"
"トウカイテイオーのピース","Tokai Teio's piece"
"マルゼンスキーのピース","Maruzensky's piece"
"フジキセキのピース","Fuji Kiseki's piece"
"オグリキャップのピース","Oguri Cap's piece"
"ゴールドシップのピース","Gold Ship's piece"
"ウオッカのピース","Vodka's piece"
"ダイワスカーレットのピース","Daiwa Scarlet's piece"
"タイキシャトルのピース","Taiki Shuttle's piece"
"グラスワンダーのピース","Grass Wonder's piece"
"ヒシアマゾンのピース","Hishi Amazon's piece"
"メジロマックイーンのピース","Mejiro McQueen's piece"
"エルコンドルパサーのピース","El Condor Pasa's piece"
"テイエムオペラオーのピース","TM Opera O's piece"
"ナリタブライアンのピース","Narita Brian's piece"
"シンボリルドルフのピース","Symboli Rudolf's piece"
"エアグルーヴのピース","Air Groove's piece"
"セイウンスカイのピース","Seiun Sky's piece"
"ビワハヤヒデのピース","Biwa Hayahide's piece"
"マヤノトップガンのピース","Mayano Top Gun's piece"
"ミホノブルボンのピース","Mihono Bourbon's piece"
"メジロライアンのピース","Mejiro Ryan's piece"
"ライスシャワーのピース","Rice Shower's piece"
"アグネスタキオンのピース","Agnes Tachyon's piece"
"ウイニングチケットのピース","Winning Ticket's piece"
"エイシンフラッシュのピース","Eishin Flash's piece"
"カレンチャンのピース","Curren Chan's piece"
"ゴールドシチーのピース","Gold City's piece"
"サクラバクシンオーのピース","Sakura Bakushin O's piece"
"スーパークリークのピース","Super Creek's piece"
"スマートファルコンのピース","Smart Falcon's piece"
"ナリタタイシンのピース","Narita Taishin's piece"
"ハルウララのピース","Haru Urara's piece"
"マチカネフクキタルのピース","Matikanefukukitaru's piece"
"メイショウドトウのピース","Meishodoto's piece"
"ナイスネイチャのピース","Nice Nature's piece"
"キングヘイローのピース","King Halo's piece"
