"text", "translation"
"スペシャルウィーク","特別周"
"サイレンススズカ","無聲鹿鈴"
"トウカイテイオー","東海帝王"
"マルゼンスキー","丸善斯基"
"フジキセキ","富士奇石"
"オグリキャップ","小栗帽"
"ゴールドシップ","黃金船"
"ウオッカ","伏特加"
"ダイワスカーレット","大和赤骥"
"タイキシャトル","大樹快車"
"グラスワンダー","草上飛"
"ヒシアマゾン","菱亞馬遜"
"メジロマックイーン","目白麥昆"
"エルコンドルパサー","神鷹"
"テイエムオペラオー","好歌劇"
"ナリタブライアン","成田白仁"
"シンボリルドルフ","皇帝"
"エアグルーヴ","氣槽"
"アグネスデジタル","愛麗數碼"
"セイウンスカイ","星雲天空"
"タマモクロス","玉藻十字"
"ファインモーション","美妙姿勢"
"ビワハヤヒデ","琵琶晨光"
"マヤノトップガン","重炮"
"マンハッタンカフェ","曼城茶座"
"ミホノブルボン","美浦波旁"
"メジロライアン","目白賴恩"
"ヒシアケボノ","菱曙"
"ユキノビジン","雪中美人"
"ライスシャワー","米浴"
"アイネスフウジン","艾尼斯風神"
"アグネスタキオン","愛麗速子"
"アドマイヤベガ","愛慕織姬"
"イナリワン","稻荷一"
"ウイニングチケット","勝利獎券"
"エアシャカール","空中神宮"
"エイシンフラッシュ","榮進閃耀"
"カレンチャン","真機伶"
"カワカミプリンセス","川上公主"
"ゴールドシチー","黃金城"
"サクラバクシンオー","櫻花進王"
"シーキングザパール","采珠"
"シンコウウインディ","新風光"
"スイープトウショウ","東商變革"
"スーパークリーク","超級小海灣"
"スマートファルコン","醒目飛鷹"
"ゼンノロブロイ","荒漠英雄"
"トーセンジョーダン","東瀛佐敦"
"ナカヤマフェスタ","中山慶典"
"ナリタタイシン","成田大進"
"ニシノフラワー","西野花"
"ハルウララ","春麗烏拉拉"
"バンブーメモリー","青竹回憶"
"ビコーペガサス","微光飛駒"
"マーベラスサンデー","美麗週日"
"マチカネフクキタル","待兼福來"
"ミスターシービー","Mr. C.B."
"メイショウドトウ","名將怒濤"
"メジロドーベル","目白杜賓"
"ナイスネイチャ","優秀素質"
"キングヘイロー","聖王光環"
"マチカネタンホイザ","詩歌劇"
"イクノディクタス","狄杜斯"
"メジロパーマー","目白善信"
"ダイタクヘリオス","大拓太陽神"
"ツインターボ","雙渦輪"
"メジロアルダン","目白阿爾丹"
"ハッピーミーク","快樂初音"
"サクラチヨノオー","櫻花千代王"
"シリウスシンボリ","天狼星象征"
"ヤエノムエテキ","八重野無敵"
"駿川たづな","駿川手綱"
"秋川理事長",""
"乙名史記者",""
"桐生院トレーナー","桐生院訓練師"
"安心沢刺々美","安心沢刺刺美"
