"text","translation"
"「{0}」で獲得した報酬です。","\"{0}\" reward."
"ストーリー「{0}」で獲得した報酬です。","\"{0}\" story reward."
"ウマ娘交換Ptで獲得したアイテムです。","Items acquired with\nUmaMusu Exchange Points."
"提供期間を過ぎたウマ娘交換Ptを自動変換したアイテムです。","From converting expired\nUmaMusu Exchange Points."
"銀の女神像交換で獲得したアイテムです。","Items acquired through\nSilver Statue Exchange."
"金の女神像交換で獲得したアイテムです。","Items acquired through\nGold Statue Exchange."
"虹の女神像交換で獲得したアイテムです。","Items acquired through\nRainbow Statue Exchange."
"交換で獲得したアイテムです。","Items acquired\nin the exchange."
"{0}で獲得したアイテムです。","Items acquired in\n{0}."
"ホリデーレース予選{0}着で獲得した報酬です。","Reward from the {0}\nHoliday Race Qualifier."
"ホリデーレース本選{0}着で獲得した報酬です。","<size=24>Reward for finishing {0} in\nthe Holiday Race Finals.\n</size>"
"ホリデーレース予選{0}位のランキング報酬です。","<size=24>Reward for finishing {0} in\nthe Holiday Race Qualifiers.\n</size>"
"ウマ娘応援投票で獲得した報酬です。","Reward from the\nUma Musume Support Poll."
"{0}月ファン数ランキング{1}位の報酬です。","Reward for ranking {1} in\nfan count of month {0}."
"優駿メダル交換で獲得したアイテムです。","Items obtained from the\nYuushun Medal Exchange."
"育成GOODENDで獲得したアイテムです。","Items obtained through\na training GOOD END."
"育成で獲得したアイテムです。","Items obtained\nthrough training."
"{0}で獲得したアイテムです。","Items acquired in\n{0}."
"{0}の{1}日目で獲得した報酬です。","Reward earned on day {1}\nof {0}."
"{0}で受け取れていなかった日の報酬です。","Reward for missed days\nin {0}."
"{0}年{1}月のサークルランキング報酬です。","Circle ranking reward\nfor {1}/{0}."
"育成サポートで、{0}人サポートした報酬です。","Reward for supporting\n{0} trainer's training."
"アイテムリクエストで寄付されたアイテムです。","Items donated\nby item request."
"名鑑Lvアップの報酬です。","Reward for increasing\nthe Index level."
"トロフィー獲得の報酬です。","Reward for\nwinning trophies."
"チーム競技場のCLASS報酬です。","CLASS reward from\nthe team arena."
"最高チーム評価点更新の報酬です。","Reward for improving\nyour max team rating."
"親愛度ランクアップの報酬です。","Reward for increasing\naffection level."
"代表ウマ娘をレンタルされた報酬です。（1日あたり上限100まで）","<size=24>Reward for renting a representative\nhorse girl. (Max 100/day)\n</size>"
"「{0}」で獲得した報酬です。","Reward for winning {0}."
"レジェンドレースの限定ミッションで獲得した報酬です。","Limited missions reward\nfrom Legend Races."
"シナリオレコードの報酬です。","Scenario Record reward."
"チャンピオンズミーティングで獲得した報酬です。","Reward earned at\nthe Champions Meeting."
"余ったルーレットコインが変換されたマニーです。","Money converted from\nleftover roulette coins."
"「デイリーミッション」で獲得した報酬です。","Reward from\nDaily Missions."
"「{0}」で獲得した報酬です。","Reward from \"{0}\"."
"所持上限を超えて\n獲得したアイテムです。","Items acquired over\nthe possession limit."
"称号「{0}」の獲得報酬です。","Reward for earning\nthe title \"{0}\"."
"「{0}」{1}日目で獲得した報酬です。","Reward earned on day {1}\nof \"{0}\"."
"運営からのプレゼントです。","A gift from management."
"運営からのお詫びです。","Apology from management."
"運営からの補てんです。","Compensation\nfrom management."
"事前登録キャンペーン達成報酬です。","Pre-registration\ncampaign reward."
"事前登録キャンペーン第2R達成報酬です。","Pre-registration\ncampaign 2R reward."
"メンテナンス協力のお礼です。","Compensation for\nmaintenance."
"バージョンアップ協力のお礼です。","Compensation for\nversion upgrades."
"事前登録ロングラン特別プレゼントです。","Special gift from long-\nrun pre-registration."
"LinksMateの報酬です。","Reward for LinksMate."
"DMM GAMES版\n応援キャンペーンのプレゼントです。","DMM GAMES ver. reward\nfor Support Campaign."
"メインミッション「データ連携しよう」の報酬変更の補てんです。","<size=24>Compensation for reward change in\nmain mission \"Let's Link Data\".\n</size>"
"WINNING LIVE 01　購入特典です。","WINNING LIVE 01\npurchase bonus."
"ANIMATION DERBY Season 2 vol.01 購入特典です。","ANIMATION DERBY Season 2\nvol.01 purchase bonus."
"ANIMATION DERBY Season 2 vol.02 購入特典です。","ANIMATION DERBY Season 2\nvol.02 purchase bonus."
"ウマ娘 プリティーダービーマガジン 購入特典です。","Uma Musume Pretty Derby\nMagazine purchase bonus."
"ANIMATION DERBY Season 2 vol.03 購入特典です。","ANIMATION DERBY Season 2\nvol.03 purchase bonus."
"『ウマ箱２』第1コーナー 購入特典です。","\"Uma Box 2\" 1st Corner\npurchase bonus."
"TVアニメ「うまよん」ミニアルバム 購入特典です。	","TV anime \"Umayon\" mini album purchase bonus."
"週刊ファミ通 購入特典です。","Weekly Famitsu\npurchase bonus."
"『ウマ箱２』第2コーナー 購入特典です。","\"Uma Box 2\" 2nd Corner\npurchase bonus."
"「STARTING GATE! ―ウマ娘プリティ\nーダービー―」5巻 購入特典です。","<size=24>\"STARTING GATE! -Umamusume Pretty Derby-\"\nVolume 5 purchase bonus.\n</size>"
"『ウマ箱２』第3コーナー 購入特典です。","\"Uma Box 2\" 3rd Corner\npurchase bonus."
"「STARTING GATE! ―ウマ娘プリティ\nーダービー―」6巻 購入特典です。","<size=24>\"STARTING GATE! -Umamusume Pretty Derby-\"\nVolume 6 purchase bonus.\n</size>"
"『ウマ箱２』第4コーナー 購入特典です。","\"Uma Box 2\" 4th Corner\npurchase bonus."
"『ウマ箱２』全巻購入特典です。","Bonus for purchasing all\nvolumes of \"Uma Box 2\"."
