"text", "translation"
"レース中間からロングスパートをかけて\n速度がわずかに上がる","從比賽中盤開始進行場衝刺\n速度略微上升"
"残り200mを切って前の方にいると\n競り合いに強くなり速度が少し上がる","還剩下200m時，如果在前方的話\n競爭中會更強，速度也會略微上升"
"レース後半で1番を\nキープし続ける力をわずかに発揮する","在比賽的後半段保持第一的話\n能力稍微上漲"
"最終直線で後ろの方から追い抜くと\n末脚を使って速度が少し上がる","最終直線從後方超越\n速度稍微提高"
"最終直線で余力を持って前にいると\nわずかに優位を保ちやすくなる","最終直線上有餘力在前方的話\n更加容易保持優勢"
"最終コーナーで後ろから追い抜くと\n女帝たる走りで速度が少し上がる","在最後的彎道上從後方超越的話\n像女帝一樣奔跑速度稍微提高"
"最終コーナーで前の方で競り合うと\n直線でわずかに抜け出しやすくなる","在最後的彎道上如果在前方競爭的話\n直線更加容易脫身"
"レース終盤のコーナーで前の位置に\nつこうとして加速力が少し上がる","在比賽最後的彎道上處於前方的位置\n加速力稍微提高"
"レース後半のコーナーで控えていると\n持久力が少し回復する","在比賽後半段的彎道\n耐力會稍微恢復"
"最終直線で競り合いに負けない\n気持ちが湧き、速度が少し上がる","在最後直線上競爭不輸給對手\n心情激動、速度稍微上升"
"レース後半に前の方で競り合うとバク\nシン力（？）を発揮、速度が少し上がる","在比賽的後半段在前方競爭的話\n速度稍微上升"
"レース中盤で好位置にいる時に\n持久力が少し回復する","在比賽中盤處於好位置時\n耐力稍微恢復"
"最終コーナーで後ろの方にいると近くの\nウマ娘を見て持久力を少し回復する","最後一個彎道處於後方\n耐力稍微恢復"
"レース終盤に前方が詰まると\nお告げの力で少し道を切り開く","在比賽的終盤前方堵塞的話\n用提示的力量開闢一條道路"
"レース終盤で3番手の時に負けそうに\nなると闘志に火が付き速度が少し上がる","在比賽的終盤處於第三名時\n鬥志被點燃速度稍微提高"
"レースを冷静に運ぶことができると\n残り200mで実力発揮、速度が上がる","冷靜的情況下進行比賽時\n還剩200m的時候發揮實力速度稍微提高"
"レース終盤に前の方で相手を抜くと\n勢いに乗って速度が上がる","在比賽的終盤超越了前方的對手\n速度就會上升"
"最終直線で差を付けて先頭にいると\nさらなる脚を使って、速度を上げる","最終直線領先的話\n腳步節奏加快提高速度"
"最終直線で前と差が詰まると\n華麗な脚取りで速度がすごく上がる","最終直線時和前方差距縮小的話\n華麗的踏步使速度大幅提高"
"最終コーナー以降で前の方にいると\nギアを変えて加速力が上がる","在最後一個彎道在前方的話\n就會換擋加速"
"残り200m地点で前の方にいると\n道を開いてすごく抜け出しやすくなる","在剩下200m時處於前方的話\n就會開闢一條道路非常容易衝刺出去"
"レース中間からロングスパートをかけて\n速度が少しずつ上がる","在比賽中間開始進行長距離衝刺\n速度逐漸提高"
"残り200mを切って前の方にいると\n競り合いに強くなり速度が上がる","在剩餘200m時處於前方的話\n競爭會變的更強速度稍微提高"
"レース後半で\n1番をキープし続ける力を発揮する","在比賽後半段\n處於第一名的話能力稍微上升"
"最終コーナーで好位置にいると\n弾みを付けて加速力が上がる","最後的彎道上處於好位置的話\n會有彈力加速力上升"
"最終直線で後ろの方から追い抜くと\n末脚を使って速度が上がる","最終直線從後方超越的話\n速度稍微提高"
"最終コーナーで前の方にいると\n抜かさせない覚悟を決めて速度が上がる","在最後的彎道上如果在前方的話\n就會下定決心不讓自己被超越速度提高"
"最終直線で余力を持って前にいると\nより優位を保ちやすくなる","最終直線上留有餘力在前方的話\n更容易保持優勢"
"最終コーナーで前の方で競り合うと\n王たる輝きで速度が上がる","在最後的彎道上處於前方競爭的話\n速度就會提高"
"レース終盤に3回追い抜くと\n最終直線で速度がすごく上がる","在比賽的終盤超越三次的話\n最終直線的速度就會非常快"
"最終コーナーで後ろから追い抜くと\n女帝たる走りで速度が上がる","最終彎道上從後方超越的話\n速度就會加快"
"最終コーナーで前の方で競り合うと\n直線で抜け出しやすくなる","在最後的彎道上超越前方的話\n導出勝利的方程式加快速度"
"最終直線までみずから崩れることなく\n前の方にいると速度が上がる","最終直線都沒有崩潰的話\n在前方的速度就會提高"
"レース終盤のコーナーで\n前の位置につこうとして加速力が上がる","比賽終盤處於前方的位置\n加速能力提高"
"最終直線で抜け出した時に\n強い意志を持って速度が上がる","最終直線跑出來的時候\n爆發出強烈的意志速度會提高"
"レース後半のコーナーで控えていると\n持久力が回復する","控制住比賽後半段的彎道的話\n耐力就會恢復"
"最終直線で競り合いに負けない\n強い気持ちが湧き、速度が上がる","最終直線上產生不輸給別人的\n強烈心情、速度加快"
"レース後半に前の方で競り合うと\nバクシン力（？）を発揮、速度が上がる","在比賽的後半段如果處於前方競爭的話\n速度提高"
"レース中盤で好位置にいる時に\n持久力が回復する","比賽中盤處於好位置的話\n耐力恢復"
"最終コーナーで後ろの方にいると近くの\nウマ娘を見て持久力を回復する","在最後的彎道上如果在後方\n恢復耐力"
"レース終盤に前方が詰まると\nお告げの力で道を切り開く","比賽終盤前方堵塞的話\n用提示的力量開闢道路"
"レース終盤で3番手の時に負けそうにな\nると秘めた闘志に火が付き速度が上がる","在比賽的終盤處於第三名時\n點燃隱藏的鬥志速度上升"
"レースを冷静に運ぶことができると残り\n200mで実力発揮、速度がすごく上がる","冷靜的進行比賽\n在剩下200m中發揮實力，速度非常快"
"右回りコースが得意になる","非常擅長順時針（右）賽道"
"右回りコースが少し得意になる","稍微擅長順時針（右）賽道"
"右回りコースが少し苦手になる","有點不擅長順時針（右）賽道"
"左回りコースが得意になる","非常擅長逆時針（左）賽道"
"左回りコースが少し得意になる","稍微擅長逆時針（左）賽道"
"左回りコースが少し苦手になる","有點不擅長逆時針（左）賽道"
"東京レース場が得意になる","非常擅長東京賽場"
"東京レース場が少し得意になる","稍微擅長東京賽場"
"東京レース場が少し苦手になる","有點不擅長東京賽場"
"中山レース場が得意になる","非常擅長中山賽場"
"中山レース場が少し得意になる","稍微擅長中山賽場"
"中山レース場が少し苦手になる","有點不擅長中山賽場"
"阪神レース場が得意になる","非常擅長阪神賽場"
"阪神レース場が少し得意になる","稍微擅長阪神賽場"
"阪神レース場が少し苦手になる","有點不擅長阪神賽場"
"京都レース場が得意になる","非常擅長京都賽場"
"京都レース場が少し得意になる","稍微擅長京都賽場"
"京都レース場が少し苦手になる","有點不擅長京都賽場"
"中京レース場が得意になる","非常擅長中京賽場"
"中京レース場が少し得意になる","稍微擅長中京賽場"
"中京レース場が少し苦手になる","有點不擅長中京賽場"
"札幌レース場が得意になる","非常擅長札幌賽場"
"札幌レース場が少し得意になる","稍微擅長札幌賽場"
"札幌レース場が少し苦手になる","有點不擅長札幌賽場"
"函館レース場が得意になる","非常擅長函館賽場"
"函館レース場が少し得意になる","稍微擅長函館賽場"
"函館レース場が少し苦手になる","有點不擅長函館賽場"
"福島レース場が得意になる","非常擅長福島賽場"
"福島レース場が少し得意になる","稍微擅長福島賽場"
"福島レース場が少し苦手になる","有點不擅長福島賽場"
"新潟レース場が得意になる","非常擅長新潟賽場"
"新潟レース場が少し得意になる","稍微擅長新潟賽場"
"新潟レース場が少し苦手になる","有點不擅長新潟賽場"
"小倉レース場が得意になる","非常擅長小倉賽場"
"小倉レース場が少し得意になる","稍微擅長小倉賽場"
"小倉レース場が少し苦手になる","有點不擅長小倉賽場"
"根幹距離（400mの倍数）が\n得意になる","非常擅長根幹距離（400m的倍数）"
"根幹距離（400mの倍数）が\n少し得意になる","稍微擅長根幹距離（400m的倍数）"
"根幹距離（400mの倍数）が\n少し苦手になる","有點不擅長根幹距離（400m的倍数）"
"非根幹距離（400mの倍数以外）が\n得意になる","非常擅長非根幹距離（非400m的倍数）"
"非根幹距離（400mの倍数以外）が\n少し得意になる","稍微擅長非根幹距離（非400m的倍数）"
"非根幹距離（400mの倍数以外）が\n少し苦手になる","有點不擅長非根幹距離（非400m的倍数）"
"「良」のバ場状態が得意になる","非常擅長狀態為「良」的賽場"
"「良」のバ場状態が少し得意になる","稍微擅長狀態為「良」的賽場"
"「良」のバ場状態が少し苦手になる","有點不擅長狀態為「良」的賽場"
"「稍重」「重」「不良」のバ場状態が\n得意になる","非常擅長狀態為「稍重」「重」「不良」的賽場"
"「稍重」「重」「不良」のバ場状態が\n少し得意になる","稍微擅長狀態為「稍重」「重」「不良」的賽場"
"「稍重」「重」「不良」のバ場状態が\n少し苦手になる","有點不擅長狀態為「稍重」「重」「不良」的賽場"
"春のレースが得意になる","非常擅長春季的比賽"
"春のレースが少し得意になる","稍微擅長春季的比賽"
"春のレースが少し苦手になる","有點不擅長春季的比賽"
"夏のレースが得意になる","非常擅長夏季的比賽"
"夏のレースが少し得意になる","稍微擅長夏季的比賽"
"夏のレースが少し苦手になる","有點不擅長夏季的比賽"
"秋のレースが得意になる","非常擅長秋季的比賽"
"秋のレースが少し得意になる","稍微擅長秋季的比賽"
"秋のレースが少し苦手になる","有點不擅長秋季的比賽"
"冬のレースが得意になる","非常擅長冬季的比賽"
"冬のレースが少し得意になる","稍微擅長冬季的比賽"
"冬のレースが少し苦手になる","有點不擅長冬季的比賽"
"晴れの日のレースが得意になる","非常擅長晴天的比賽"
"晴れの日のレースが少し得意になる","稍微擅長晴天的比賽"
"曇りの日のレースが得意になる","非常擅長陰天的比賽"
"曇りの日のレースが少し得意になる","有點擅長陰天的比賽"
"雨の日のレースが得意になる","非常擅長雨天的比賽"
"雨の日のレースが少し得意になる","稍微擅長雨天的比賽"
"雨の日のレースが少し苦手になる","有點不擅長雨天的比賽"
"雪の日のレースが得意になる","非常擅長下雪的比賽"
"雪の日のレースが少し得意になる","稍微擅長下雪的比賽"
"枠番が1～3のレースが得意になる","非常擅長門框牌號為1~3的比賽"
"枠番が1～3のレースが少し得意になる","稍微擅長門框牌號為1~3的比賽"
"枠番が1～3のレースが少し苦手になる","有點不擅長門框牌號為1~3的比賽"
"枠番が6～8のレースが得意になる","非常擅長門框牌號為6~8的比賽"
"枠番が6～8のレースが少し得意になる","稍微擅長門框牌號為6~8的比賽"
"枠番が6～8のレースが少し苦手になる","有點不擅長門框牌號為6~8的比賽"
"自分と同じ作戦のウマ娘がいないと\n能力を発揮しやすい","沒有和自己作戰一樣的馬娘的話能力上升"
"自分と同じ作戦のウマ娘がいないと\n能力を少し発揮しやすい","沒有和自己作戰一樣的馬娘的話能力稍微上升"
"自分と同じ作戦のウマ娘が6人以上だと\n能力を発揮しやすい","和自己作戰相同的馬娘有六人以上的話能力上升"
"自分と同じ作戦のウマ娘が6人以上だと\n能力を少し発揮しやすい","和自己作戰相同的馬娘有六人以上的話能力稍微上升"
"自分と同じ作戦のウマ娘が6人以上だと\n能力を少し発揮しにくい","和自己作戰相同的馬娘有六人以上的話能力稍微下降"
"1番人気のウマ娘と作戦が同じだと\n能力を発揮しやすい","作戰和人氣第一的馬娘相同的話能力上升"
