"text", "translation"
"波乱注意砲！","Warning Shot!"
"アクセルX","Accelerator X"
"レッドエース","Red Ace"
"精神一到","Desire to win"
"熱血☆アミーゴ","Hot Blooded ☆ Amigo"
"エンプレス・プライド","Empress・Pride"
"勝利のキッス☆","Victory Kiss ☆"
"燃えろ筋肉！","Burning Muscles!"
"introduction：My body","introduction：My body"
"全力Vサインッ！","Full Power for V"
"学級委員長+速さ＝バクシン","Class President + Speed = Bakushin"
"クリアハート","Clear Heart"
"ワクワクよーいドン","Ready, Steady, Go!"
"来てください来てください！","Come, Come!"
"アタシもたまには、ね？","You know, sometimes even I can…"
"Call me KING","Call me KING"
"シューティングスター","Shooting Star"
"先頭の景色は譲らない…！","I'm not giving up the lead…!"
"究極テイオーステップ","Ultimate Teio Step"
"紅焔ギア/LP1211-M","Red Flame Gear/LP1211-M"
"勝利の鼓動","The Beat of Victory"
"不沈艦、抜錨ォッ！","Unsinkable ship, anchored!"
"カッティング×DRIVE！","Cutting × DRIVE!"
"ブリリアント・レッドエース","Brilliant Red Ace"
"ヴィクトリーショット！","Victory Shot!"
"精神一到何事か成らざらん","Where there's a will, there's a way"
"貴顕の使命を果たすべく","Fulfilling your noble duty"
"プランチャ☆ガナドール","Plancha ☆ Ganador"
"ヴィットーリアに捧ぐ舞踏","Dance for Vittoria"
"Shadow Break","Shadow Break"
"汝、皇帝の神威を見よ","Thou, witness the heavenly might of the Emperor"
"ブレイズ・オブ・プライド","Blaze of Pride"
"∴win Q.E.D.","∴win Q.E.D."
"ひらめき☆ランディング","Inspiration ☆ Landing"
"G00 1st.F∞;","G00 1st.F∞;"
"レッツ・アナボリック！","Let's anabolic!"
"ブルーローズチェイサー","Blue Rose Chaser"
"U=ma2","U=ma2"
"勝利のチケットを、君にッ！","The ticket to victory, for you!"
"#LookatCurren","#LookatCurren"
"優等生×バクシン＝大勝利ッ","Honor Student x Bakushin = Big Victory"
"ピュリティオブハート","Purity of Heart"
"キラキラ☆STARDOM","Sparkling☆STARDOM"
"Nemesis","Nemesis"
"ワクワククライマックス","Exciting Climax"
"来ます来てます来させます！","I'm coming, I'm coming, I'm coming!"
"きっとその先へ…！","Surely, beyond...!"
"Pride of KING","Pride of KING"
"絶対は、ボクだ","It's going to be me"
"最強の名を懸けて","For the Strongest Name"
"薫風、永遠なる瞬間を","Summer breeze, an eternal moment"
"フラワリー☆マニューバ","Flowery ☆ Maneuver"
"右回り◎","Right Turns ◎"
"右回り○","Right Turns ○"
"右回り×","Right Turns ×"
"左回り◎","Left Turns ◎"
"左回り○","Left Turns ○"
"左回り×","Left Turns ×"
"東京レース場◎","Tokyo Racetrack ◎"
"東京レース場○","Tokyo Racetrack ○"
"東京レース場×","Tokyo Racetrack ×"
"中山レース場◎","Nakayama Racetrack ◎"
"中山レース場○","Nakayama Racetrack ○"
"中山レース場×","Nakayama Racetrack ×"
"阪神レース場◎","Hanshin Racetrack ◎"
"阪神レース場○","Hanshin Racetrack ○"
"阪神レース場×","Hanshin Racetrack ×"
"京都レース場◎","Kyoto Racetrack ◎"
"京都レース場○","Kyoto Racetrack ○"
"京都レース場×","Kyoto Racetrack ×"
"中京レース場◎","Chukyo Racetrack ◎"
"中京レース場○","Chukyo Racetrack ○"
"中京レース場×","Chukyo Racetrack ×"
