"text", "translation"
"育成でウマ娘を1人育成完了しよう","Complete a training once"
"デイリーレースに出走しよう","Run in the daily race once"
"チーム競技場をプレイしよう","Run in the team stadium once"
"ログインしよう","Let's login"
"イベントデイリーミッションを\nすべてクリアしよう","Complete all event daily missions"
"育成でウマ娘を\n3人育成完了しよう","Complete a training 3 times"
"育成でウマ娘を\n5人育成完了しよう","Complete a training 5 times"
"育成でウマ娘を\n10人育成完了しよう","Complete a training 10 times"
"育成でウマ娘を\n20人育成完了しよう","Complete a training 20 times"
"チーム競技場を\n5回プレイしよう","Run in the team stadium 5 times"
"チーム競技場を\n10回プレイしよう","Run in the team stadium 10 times"
"チーム競技場を\n20回プレイしよう","Run in the team stadium 20 times"
"チーム競技場を\n30回プレイしよう","Run in the team stadium 30 times"
"チーム競技場を\n50回プレイしよう","Run in the team stadium 50 times"
"育成でレースに\n5回勝利しよう","Win a race in training 5 times"
"育成でレースに\n10回勝利しよう","Win a race in training 10 times"
"育成でレースに\n20回勝利しよう","Win a race in training 20 times"
"育成でレースに\n30回勝利しよう","Win a race in training 30 times"
"育成でレースに\n40回勝利しよう","Win a race in training 40 times"
"育成でレースに\n50回勝利しよう","Win a race in training 50 times"
"デイリーレースで\n3勝しよう","Win the daily race 3 times"
"デイリーレースで\n5勝しよう","Win the daily race 5 times"
"デイリーレースで\n10勝しよう","Win the daily race 10 times"
"デイリーレースで\n15勝しよう","Win the daily race 15 times"
"デイリーレースで\n20勝しよう","Win the daily race 20 times"
"デイリーレースで\n25勝しよう","Win the daily race 25 times"
"育成でGⅠレースに\n3回勝利しよう","Win a GI race in training 3 times"
"育成でGⅠレースに\n5回勝利しよう","Win a GI race in training 5 times"
"育成でGⅠレースに\n10回勝利しよう","Win a GI race in training 10 times"
"育成でGⅠレースに\n20回勝利しよう","Win a GI race in training 20 times"
"育成でGⅠレースに\n30回勝利しよう","Win a GI race in training 30 times"
"期間中にファンを\n累計100000人獲得しよう	","Earn a total of 100000 fans during the event period"
"期間中にファンを\n累計200000人獲得しよう	","Earn a total of 200000 fans during the event period"
"期間中にファンを\n累計300000人獲得しよう	","Earn a total of 300000 fans during the event period"
"期間中にファンを\n累計500000人獲得しよう	","Earn a total of 500000 fans during the event period"
"期間中にファンを\n累計1000000人獲得しよう	","Earn a total of 1000000 fans during the event period"
"期間中にファンを\n累計1500000人獲得しよう	","Earn a total of 1500000 fans during the event period"
"イベントストーリーを\n第8話まで視聴しよう","Read the event story up to chapter 8"
"イベント期間限定ミッションを\nすべてクリアしよう","Complete all event limited missions"
"育成を1回完了しよう","Complete a training once"
"育成でレースに勝利しよう","Win a race in training once"
"育成を3回完了しよう","Complete a training 3 times"
"育成を5回完了しよう","Complete a training 5 times"
"育成を10回完了しよう","Complete a training 10 times"
"育成を15回完了しよう","Complete a training 15 times"
"育成を20回完了しよう","Complete a training 20 times"
"育成を25回完了しよう","Complete a training 25 times"
"育成を30回完了しよう","Complete a training 30 times"
"育成でファン数を\n累計10万人以上獲得しよう	","Earn a total of 100000 fans in training"
"育成でファン数を\n累計50万人以上獲得しよう	","Earn a total of 500000 fans in training"
"育成でファン数を\n累計100万人以上獲得しよう	","Earn a total of 1000000 fans in training"
"育成でファン数を\n累計150万人以上獲得しよう","Earn a total of 1500000 fans in training"
"育成で皐月賞の\n3着以内に入ろう","Finish 3rd or higher in Satsuki Sho during training"
"育成で日本ダービーの\n3着以内に入ろう","Finish 3rd or higher in Japan Derby during training"
"育成で菊花賞の\n3着以内に入ろう","Finish 3rd or higher in Kikka Sho during training"
"育成で大阪杯の\n3着以内に入ろう","Finish 3rd or higher in Oosaka Hai during training"
"育成で天皇賞（春）の\n3着以内に入ろう","Finish 3rd or higher in Tenno Sho (Spring) during training"
"育成で宝塚記念の\n3着以内に入ろう","Finish 3rd or higher in Takarazuka Kinen during training"
"育成で有馬記念の\n3着以内に入ろう","Finish 3rd or higher in Arima Kinen during training"
"チーム競技場を\n40回プレイしよう","Run in the team stadium 40 times"
"チーム競技場でスコアを\n累計20万以上獲得しよう","Earn a total of 200000 points in team stadium"
"チーム競技場でスコアを\n累計50万以上獲得しよう","Earn a total of 500000 points in team stadium"
"チーム競技場でスコアを\n累計100万以上獲得しよう","Earn a total of 1000000 points in team stadium"
"チーム競技場でスコアを\n累計200万以上獲得しよう","Earn a total of 2000000 points in team stadium"
"育成で天皇賞（秋）の\n3着以内に入ろう","Finish top 3 in the Tenno Sho (Autumn) during training"
"育成でオークスの\n3着以内に入ろう","Finish top 3 in the Oaks during training"
"育成でエリザベス女王杯の\n3着以内に入ろう","Finish top 3 in the Queen Elizabeth Cup during training"
