"text", "translation"
"友情ボーナス","友情獎勵"
"やる気効果アップ","幹勁獎勵"
"スピードボーナス","速度獎勵"
"スタミナボーナス","耐力獎勵"
"パワーボーナス","力量獎勵"
"根性ボーナス","毅力獎勵"
"賢さボーナス","智慧獎勵"
"トレーニング効果アップ","提高訓練的效果"
"初期スピードアップ","初期速度增加"
"初期スタミナアップ","初期耐力增加"
"初期パワーアップ","初期力量增加"
"初期根性アップ","初期毅力增加"
"初期賢さアップ","初期智慧增加"
"初期絆ゲージアップ","初期羈絆增加"
"レースボーナス","比賽獎勵"
"ファン数ボーナス","粉絲數獎勵"
"ヒントLvアップ","Hint等級獎勵"
"ヒント発生率アップ","Hint発生率增加"
"得意率アップ","擅長幾率提高"
"スピード限界値アップ","提高速度上限"
"スタミナ限界値アップ","提高耐力上限"
"パワー限界値アップ","提高力量上限"
"根性限界値アップ","提高毅力上限"
"賢さ限界値アップ","提高智慧上限"
"イベント回復量アップ","觸發事件的回復量增加"
"イベント効果アップ","事件效果增加"
"失敗率ダウン","失敗率下降"
"体力消費ダウン","體力消耗下降"
"ミニゲーム効果アップ","小遊戲效果增加"
"スキルPtボーナス","技能點獎勵"
"賢さ友情回復量アップ","智慧訓練回復提高"
