"text", "translation"
"初期所持","Unlocked from the start"
"チームランク[D]に到達させよう","Reach team rank D"
"チームランク[B]に到達させよう","Reach team rank B"
"チームランク[A]に到達させよう","Reach team rank A"
"チームランク[S]に到達させよう","Reach team rank S"
"チームランク[SS]に到達させよう","Reach team rank SS"
"育成で育成目標を1000回クリアしよう","Clear the training goal 1000 times in training"
"育成で良いコンディションを\n100回発生させよう","Obtain a good condition 100 times in training"
"育成でURAファイナルズ決勝に勝利しよう","Win the URA Finals in training"
"育成で八大競走を全て勝利しよう","Win all eight major races in training"
"クレーンゲームでぬいぐるみを\n10個以上獲得してクリアしよう","Win 10 or more stuffed toys in the Crane Game"
"かけがえのない絆を\n感じるひとときを過ごそう","Win onsen tickets in the lottery, and then complete training"
"育成ランク[S]以上の\n育成ウマ娘を10回育成しよう","Train a horse girl to rank S 10 times"
"育成ランク[S]以上の\n育成ウマ娘を50回育成しよう","Train a horse girl to rank S 50 times"
"育成ランク[S]以上の\n育成ウマ娘を200回育成しよう","Train a horse girl to rank S 200 times"
"育成ランク[S]以上の\n育成ウマ娘を500回育成しよう","Train a horse girl to rank S 500 times"
"GⅠのレースを100勝しよう","Win 100 GI races"
"GⅠのレースを500勝しよう","Win 500 GI races"
"GⅠのレースを1000勝しよう","Win 1000 GI races"
"GⅠのレースを2000勝しよう","Win 2000 GI races"
"GⅢのトロフィーを69個あつめよう","Collect all 69 GIII trophies"
"GⅡのトロフィーを36個あつめよう","Collect all 36 GII trophies"
"GⅠのトロフィーを30個あつめよう","Collect all 30 GI trophies"
"育成で札幌レース場のレースを200勝しよう","Win races on the Sapporo Racetrack 200 times"
"育成で函館レース場のレースを200勝しよう","Win races on the Hakodate Racetrack 200 times"
"育成で新潟レース場のレースを200勝しよう","Win races on the Niigata Racetrack 200 times"
"育成で福島レース場のレースを200勝しよう","Win races on the Fukushima Racetrack 200 times"
"育成で中山レース場のレースを200勝しよう","Win races on the Nakayama Racetrack 200 times"
"育成で東京レース場のレースを200勝しよう","Win races on the Tokyo Racetrack 200 times"
"育成で中京レース場のレースを200勝しよう","Win races on the Chukyo Racetrack 200 times"
"育成で京都レース場のレースを200勝しよう","Win races on the Kyoto Racetrack 200 times"
"育成で阪神レース場のレースを200勝しよう","Win races on the Hanshin Racetrack 200 times"
"育成で小倉レース場のレースを200勝しよう","Win races on the Kokura Racetrack 200 times"
"デイリーレースで100勝しよう	","Win 100 daily races"
"レジェンドレースで1勝しよう","Win 1 legendary race"
"レジェンドレースで100勝しよう","Win 100 legendary races"
"チーム競技場を100回プレイしよう","Play in the team stadium 100 times"
"チーム競技場でCLASS 6に到達しよう","Reach Class 6 at the team stadium"
"チーム競技場でウイニング報酬を\n100回獲得しよう","Earn a reward from winning in the team stadium 100 times"
"うまぴょい伝説を見よう","Watch 'Umapyoi Densetsu'"
"彩 Phantasiaを見よう","Watch 'Irodori Phantasia'"
"Make debut!を見よう","Watch 'Make debut!'"
"ENDLESS DREAM!!を見よう","Watch 'ENDLESS DREAM!!'"
"NEXT FRONTIERを見よう","Watch 'NEXT FRONTIER'"
"UNLIMITED IMPACTを見よう","Watch 'UNLIMITED IMPACT'"
"Special Record!を見よう","Watch 'Special Record!'"
"はじまりのSignalを見よう","Watch 'Hajimari no Signal'"
"ささやかな祈りを見よう","Watch 'Sasayaka na Inori wo'"
"本能スピードを見よう","Watch 'Honnou Speed'"
"winning the soulを見よう","Watch 'winning the soul'"
"ユメヲカケル！を見よう","Watch 'Yume wo Kakeru!'"
"特定の編成でユメヲカケル！を見よう","Watch 'Yume wo Kakeru! (special version)'"
"涙ひかって明日になれ！を見よう","Watch 'Namida hikatte ashita ni nare!'"
"累計フォロー数25人を達成しよう","Achieve a cumulative total of 25 followers"
"累計フォロー数50人を達成しよう","Achieve a cumulative total of 50 followers"
"累計フォロワー数100人を達成しよう","Achieve a cumulative total of 100 followers"
"累計フォロワー数200人を達成しよう","Achieve a cumulative total of 200 followers"
