"text", "translation"
"天気[雨]で4回以上出走し、3勝する","Participate a race with rainy weather ≥4 times\nWin 3 of them"
"天気[曇り]で4回以上出走し、3勝する","Participate a race with cloudy weather ≥4 times\nWin 3 of them"
"天気[雪]で3回以上出走し、2勝する","Participate a race with snowy weather ≥3 times\nWin 2 of them"
"GⅠに1回以上出走し、\nGⅠ未勝利のまま育成ランクC以上で育成を完了する","<size=22>Participate a GI race at least once and without winning any single GI race\nComplete the training with ≥C rank</size>"
"ファン数が550000人以上になる","Earn a total of ≥550000 fans"
"10回以上レースに出走し、\n芝のレースのみに出走して育成を完了する","<size=22>Participate a race ≥10 times and every race has to be turf\nComplete the training</size>"
"掛かったレースで3勝する","Win a panicked (掛かり) race 3 times"
"どちらも育成で重賞未勝利のウマ娘から想いを継承し、\nGⅠを勝利する","Inherit memories from parents without any winning history\nWin a GI race"
"作戦「逃げ」または「先行」で\nGⅡもしくはGⅠを3バ身差以上で合計6勝する","Win a GI or GII race 6 times as a runner or leader with difference of ≥3 lengths"
"京都金杯、中山金杯、金鯱賞のいずれかで2勝する","The Kyoto Kinpai, Nakayama Kinpai, and Kinko Sho\nWin ≥2 of them"
"トレーニング[パワー]がLv5になる","Reach power training level 5"
"トレーニング[スタミナ]を35回行う","Reach stamina training level 5"
"トレーニング[根性]がLv5になる","Reach guts training level 5"
"トレーニング[賢さ]がLv4になる","Reach wisdom training level 5"
"5連敗以上した後に勝利する","Win a race after 5 losses in a row"
"メイクデビューを7バ身差以上で勝利する","Win the Make Debut with difference of ≥7 lengths"
"トレーニングを一切しないでメイクデビューに勝利する","Win the Make Debut without any single training"
"10回以上レースに出走し、\nトレーニングに1度も失敗しないで育成を完了する","<size=22>Participate a race 10 times and without failing a single training\nComplete the training</size>"
"作戦「逃げ」で6勝し、\n基礎能力[スピード]が600以上になる","Win a race 6 times as a runner\nReach ≥600 speed"
"作戦「差し」または「追込」でGⅠを勝利し、\n基礎能力[パワー]と[根性]がそれぞれ500以上になる","Win a GI race once as a betweener or chaser\nReach ≥500 power and guts"
"中央10か所のレース場で、それぞれ重賞を勝利する","Win a big race each in 10 central race courses"
"日本ダービーを勝利する","Win the Japan Derby"
"オークスを勝利する","Win the Oaks"
"皐月賞、日本ダービー、菊花賞のいずれかで2勝する","The Satsuki Sho, Japan Derby and Kikka Sho\nWin ≥2 of them"
"桜花賞、オークス、秋華賞のいずれかで2勝する","The Oka Sho, Oaks and Shuka Sho\nWin ≥2 of them"
"大阪杯、天皇賞（春）、宝塚記念を勝利する","Win the Oosaka Hai, Tenno Sho (Spring), and Takarazuka Kinen"
"天皇賞（秋）、ジャパンC、有馬記念を勝利する","Win the Tenno Sho (Autumn), Japan Cup, and Arima Kinen"
"天皇賞（春）と天皇賞（秋）を勝利する","Win the Tenno Sho (Spring) and Tenno Sho (Autumn)"
"芝のレースで15勝する","Win a turf race 15 times"
"20回レースに出走する","Participate a race 20 times"
"ダートのレースで10勝する","Win a dirt race 10 times"
"オープン以下で負けずに、重賞を5連勝する","Win a big race 5 times in a row while having zero losses in a grade higher than OP"
"シニア級で初めてGⅠを勝利する","Win a GI race for the first time in 3rd year"
"GⅠで3着を3回とる","Finish 3rd place in a GI race 3 times"
"GⅠで2着を3回とる","Finish 2rd place in a GI race 3 times"
"スキルを15個以上獲得する","Learn ≥15 skills"
"基礎能力[スピード]が800以上かつ\n芝のレースを15回以上出走する","Participate a turf race ≥15 times\nReach ≥800 speed"
"重賞未勝利でGⅠを勝利する","Win a GI race while still haven't won any big race"
"芝とダートのGⅠをそれぞれ1勝以上する","Win a turf and dirt GI race each at least once"
"10回以上レースに出走し、全レースで3着以内で育成を完了する","<size=22>Participate a race ≥10 times\nFinish ≥3rd in every single race\nComplete the training</size>"
"育成でオークスを勝利したウマ娘から想いを継承し、\nオークス、天皇賞（秋）を勝利し、\nファン数が320000人以上になる","<size=22>Inherit memories from parents that won the Oaks\nWin the Oaks and Tenno Sho (Autumn)\nEarn a total of ≥320000 fans</size>"
"重賞に23戦以上出走し、\nうち菊花賞、天皇賞（春）を2番人気以上で勝利し、\nファン数が320000人以上で育成を完了する","<size=22>Participate a big race ≥23 times\nWin the Kikka Sho and Tenno Sho (Spring) being the ≥2nd popular\nEarn a total of ≥320000 fans</size>"
"1番人気で弥生賞、皐月賞、日本ダービー、菊花賞を勝利して、\n有馬記念（クラシック級）を勝利して、\nファン数が240000人以上になる","<size=22>Win the Yayoi Sho, Satsuki Sho, Japan Derby and Kikka Sho being the 1st popular\nWin the Arima Kinen in 2nd year\nEarn a total of ≥240000 fans</size>"
"育成ランク[S]以上のウマ娘から想いを継承し、\n無敗でホープフルステークス、弥生賞、皐月賞を勝利し、\n基礎能力[スピード]が1200以上になる","<size=22>Inherit memories from parents with ≥S rank\nWin the Hopeful Stakes, Yayoi Sho, and Satsuki Sho while having zero losses\nReach ≥1200 speed</size>"
"GⅠを7勝する","Win a GI race 7 times"
"高松宮記念、スプリンターズS、\n安田記念、マイルチャンピオンシップを勝利する","Win the Takamatsunomiya Kinen, Sprinters Stakes, Yasuda Kinen, and Mile Championship"
"デビューから無敗でGⅠ3勝を含む5連勝をする","Win a race 5 times in a row including 3 GI race while winning every single race since debut"
"皐月賞、日本ダービー、菊花賞を勝利する","Win the Satsuki Sho, Japan Derby, and Kikka Sho"
"勝率85%以上かつ、\nGⅠ7勝以上、ファン数が320000人以上で育成を完了する","Win a GI race ≥7 times with a 85% winning rate\nEarn a total of ≥320000 fans and complete the training"
"GⅠを7連勝する","Win a GI race 7 times in a row"
"やる気「絶不調」でGⅠを勝利する","Win a GI race with very bad condition"
"1400m以下の重賞を7勝以上かつ、\n基礎能力[スピード]と[パワー]がそれぞれ1200以上になる","Win a big race of 1400m or higher ≥7 times\nReach ≥1200 speed and power"
"2400m以上の重賞で7勝以上かつ、\n基礎能力[スタミナ]1200以上になる","Win a big race of 2400m or higher ≥7 times\nReach ≥1200 stamina"
"2400m以上のGⅠで4勝する","Win a GI race of 2400m or higher 4 times"
"マイルのGⅠで5バ身差以上をつけて3勝する","Win a GI race of mile 3 times with difference of ≥5 lengths"
"12回以上出走して全勝で育成を完了する","<size=22>Participate a race ≥12 times while winning every single race\nComplete the training</size>"
"6～9番人気で重賞を勝利する","Win a big race once being the ≤6th popular"
"GⅠを5勝以上し、URAファイナルズを勝利して\nファン数が320000以上になる","<size=22>Win a GI race ≥5 times and win the URA Finals\nEarn a total of ≥320000 fans</size>"
"スキルを20個以上獲得する","Learn ≥20 skills"
"1つのレースでスキルを13回以上発動する","Activate ≥13 skills in a single race"
"日本ダービーを1番人気かつ5バ身差以上で勝利し、\n天皇賞（春）、天皇賞（秋）、ジャパンCを勝利する","<size=22>Win the Japan Derby being the 1st popular with difference of ≥5 lengths\nWin the Tenno Sho (Spring), Tenno Sho (Autumn), and Japan Cup</size>"
"作戦「逃げ」かつ1番人気で重賞を6連勝以上し、\nそのうち1戦は宝塚記念でスタート200m地点から\nゴールまで1番手のままで勝利する","<size=22>Win a big race ≥6 times in a row as a runner being the 1st popular\nWin the Takarazuka Kinen while keeping the 1st position from start of 200m to finish</size>"
"全レースで2着以内かつ、\n作戦「先行」でジャパンC（クラシック級）で勝利し、\nファン数が320000人以上で育成を完了する","<size=22>Finish ≥2nd in every race\nWin the Japan Cup in 2nd year as a leader\nEarn a total of ≥320000 fans and complete the training</size>"
"無敗で8連勝以上し、平均7バ身差以上で勝利する","Win a race ≥8 times in a row with average difference of ≥7 lengths"
"作戦「逃げ」「先行」「差し」「追込」それぞれでGⅠを勝利する","Win a GI race each as a runner, leader, betweener, and chaser"
"1400m以下で11勝以上、\nスプリンターズS（シニア級）を1番人気、4バ身差以上で勝利する","<size=22>Win a race of 1400m or lower ≥11 times\nWin the Sprinters Stakes being the 1st popular with difference of ≥4 lengths</size>"
"菊花賞で5バ身差以上で勝利し、\n天皇賞（春）を含む2400m以上の重賞で6勝する","<size=22>Win the Kikka Sho with difference of ≥5 lengths\nWin a big race of 2400m or higher 6 times including the Tenno Sho (Spring)</size>"
"やる気「好調」以下で朝日杯FS、有馬記念（クラシック級）、\n宝塚記念（シニア級）、有馬記念（シニア級）を勝利する","Win the Asahi Hai Futurity Stakes, Arima Kinen twice, and Takarazuka Kinen in 3rd year with ≤good condition"
"日本ダービー、安田記念、ジャパンC、天皇賞（秋）、\nヴィクトリアマイルを含むGⅠを7勝以上する","Win a GI race ≥7 times including the Japan Derby, Yasuda Kinen, Japan Cup, Tenno Sho (Autumn), and Victoria Mile"
"育成で皐月賞を勝利したウマ娘から想いを継承し、\n全レースで2着以内で、桜花賞、秋華賞、エリザベス女王杯を含む\n重賞を10勝する","<size=22>Inherit memories from parents that won the Satsuki Sho\nFinish ≥2nd in every single race including the Oka Sho, Shuka Sho, and Queen Elizabeth Cup\nWin a big race 10 times</size>"
"育成でGⅠ7勝以上したウマ娘から想いを継承し、\nGⅠで1番人気を4回以上、無敗で皐月賞・日本ダービーで勝利し、\n有馬記念（シニア級）で勝利する","<size=22>Inherit memories from parents that won GI race ≥7 times\nWin a GI race ≥4 times being the 1st popular\nWin the Satsuki Sho, Japan Derby, and Arima Kinen in 3rd year while having zero losses</size>"
"皐月賞、菊花賞、宝塚記念を含むGⅠを6勝以上し、\nファン数が480000人以上になる","Win a GI race ≥6 times including the Satsuki Sho, Kikka Sho, and Takarazuka Kinen\nEarn a total of ≥480000 fans"
"無敗で皐月賞・日本ダービー・菊花賞を勝利し、\nジャパンC、天皇賞（春）を勝利および有馬記念を二連覇する","Win the Satsuki Sho, Japan Derby, and Kikka Sho while having zero losses\nWin the Japan Cup, Tenno Sho (Spring) and Arima Kinen twice"
"やる気「絶好調」でGⅡまたはGⅠに15回以上出走し、\n菊花賞を含むGⅡ以上で3連勝以上する","Participate a GI or GII ≥15 times with perfect condition\nWin a GII or higher race ≥3 times in a row including the Kikka Sho"
"GⅠで3着を3回、ファン数が320000人以上になる","Finish 3rd in a GI race 3 times and earn a total of ≥320000 fans"
"メジロの冠名がつくウマ娘にGⅠで1回以上勝利し、\n菊花賞、宝塚記念、有馬記念で勝利して、\nファン数が240000人以上になる","<size=22>Win a GI race against a Mejiro at least once\nWin the Kikka Sho, Takarazuka Kinen, and Arima Kinen\nEarn a total of ≥240000 fans</size>"
"ユニコーンS、安田記念を含むマイルの重賞で5勝以上し、\nうち1勝以上は天候（雨）で勝利かつ、\nマイルCSを5バ身差以上で勝利する","<size=22>Win a big race ≥5 times including the Unicorn Stakes, and Yasuda Kinen with one of them in rainy weather\nWin the Mile Championship with difference of ≥5 lengths</size>"
