"text", "translation"
"[スペシャルドリーマー]","[Special Dreamer]"
"[サイレントイノセンス]","[Silent Innocence]"
"[トップ・オブ・ジョイフル]","[Top of Joyful]"
"[ビヨンド・ザ・ホライズン]","[Beyond the Horizon]"
"[フォーミュラオブルージュ]","[Formula of Rouge]"
"[スターライトビート]","[Starlight Beat]"
"[レッドストライフ]","[Red Strife]"
"[ワイルドトップギア]","[Wild Top Gear]"
"[トップ・オブ・ブルー]","[Top of Blue]"
"[ワイルド・フロンティア]","[Wild Frontier]"
"[岩穿つ青]","[Rock-piercing Blue]"
"[エレガンス・ライン]","[Elegance Line]"
"[エンド・オブ・スカイ]","[End of Sky]"
"[エル☆Número 1]","[El ☆ Número 1]"
"[オー・ソレ・スーオ！]","[O Sole Suo!]"
"[Maverick]","[Maverick]"
"[ロード・オブ・エンペラー]","[Road of Emperor]"
"[エンプレスロード]","[Empress Road]"
"[クエルクス・キウィーリス]","[Quercus Civilis]"
"[pf.Victory formula...]","[pf.Victory formula...]"
"[すくらんぶる☆ゾーン]","[Scramble ☆ Zone]"
"[サンライト・ブーケ]","[Sunlight Bouquet]"
"[MB-19890425]","[MB-19890425]"
"[ストレート・ライン]","[Straight Line]"
"[ローゼスドリーム]","[Roses Dream]"
"[tach-nology]","[tach-nology]"
"[Go To Winning!]","[Go To Winning!]"
"[フィーユ・エクレール]","[Fille Éclair]"
"[サクラ、すすめ！]","[Sakura, Advance!]"
"[マーマリングストリーム]","[Murmuring Stream]"
"[あぶそりゅーと☆LOVE]","[Absolute ☆ LOVE]"
"[Nevertheless]","[Nevertheless]"
"[うららん一等賞♪]","[Uraran First Prize ♪]"
"[運気上昇☆幸福万来]","[Rising Fortunes ☆ Bountiful Blessings]"
"[ポインセチア・リボン]","[Poinsettia Ribbon]"
"[キング・オブ・エメラルド]","[King of Emerald]"
